CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,Cluster,Segment
10000,13,65,13751.91,211.56784615384615,65,3,💛 Loyal Customers
10001,22,3,133.26999999999998,44.423333333333325,3,2,🔵 Potential
10002,310,5,248.07,49.614,5,0,⚠️  At Risk
10003,60,33,4057.16,122.94424242424242,32,2,🔵 Potential
10004,13,43,8721.75,202.83139534883722,43,3,💛 Loyal Customers
10005,12,96,14997.86,156.22770833333334,96,3,💛 Loyal Customers
10006,2,186,60848.87,327.14446236559144,186,1,🏆 Champions
10007,26,1,303.36,303.36,1,2,🔵 Potential
10008,304,2,167.04,83.52,2,0,⚠️  At Risk
10009,195,6,654.73,109.12166666666667,6,0,⚠️  At Risk
10010,1,175,68935.93000000001,393.91960000000006,173,1,🏆 Champions
10011,31,5,295.19,59.038,5,2,🔵 Potential
10012,8,11,651.58,59.23454545454546,11,2,🔵 Potential
10013,13,56,14006.01,250.10732142857142,56,3,💛 Loyal Customers
10014,26,52,8502.84,163.51615384615386,52,3,💛 Loyal Customers
10015,11,52,8587.76,165.14923076923077,52,3,💛 Loyal Customers
10016,16,49,9197.38,187.7016326530612,49,3,💛 Loyal Customers
10017,81,25,2952.04,118.0816,25,2,🔵 Potential
10018,66,27,1917.13,71.00481481481482,27,2,🔵 Potential
10019,16,38,6791.45,178.72236842105264,38,3,💛 Loyal Customers
10020,228,2,238.35999999999999,119.17999999999999,2,0,⚠️  At Risk
10021,2,101,37017.07,366.50564356435643,100,1,🏆 Champions
10022,10,36,8213.59,228.15527777777777,36,3,💛 Loyal Customers
10023,10,62,9310.13,150.1633870967742,62,3,💛 Loyal Customers
10024,83,23,1866.32,81.14434782608696,23,2,🔵 Potential
10025,170,6,320.45,53.40833333333333,6,0,⚠️  At Risk
10026,14,61,10892.61,178.56737704918035,61,3,💛 Loyal Customers
10027,84,29,4219.01,145.48310344827587,29,2,🔵 Potential
10028,74,30,4110.27,137.00900000000001,30,2,🔵 Potential
10029,1,150,53663.74,357.75826666666666,148,1,🏆 Champions
10030,215,10,818.06,81.806,10,0,⚠️  At Risk
10031,14,44,8599.43,195.4415909090909,44,3,💛 Loyal Customers
10032,1,96,36967.9,385.08229166666666,95,1,🏆 Champions
10033,33,2,386.90999999999997,193.45499999999998,2,2,🔵 Potential
10034,18,5,245.91,49.182,5,2,🔵 Potential
10035,26,7,144.78,20.68285714285714,7,2,🔵 Potential
10036,12,69,14465.8,206.6542857142857,70,3,💛 Loyal Customers
10037,2,115,54350.45,472.61260869565217,115,1,🏆 Champions
10038,289,2,325.73,162.865,2,0,⚠️  At Risk
10039,65,42,4501.38,107.17571428571429,42,2,🔵 Potential
10040,3,108,43454.31,402.3547222222222,107,1,🏆 Champions
10041,65,31,2997.87,96.70548387096774,31,2,🔵 Potential
10042,4,103,31518.22,306.0021359223301,101,1,🏆 Champions
10043,16,6,357.81,59.635,6,2,🔵 Potential
10044,10,38,11162.01,293.7371052631579,38,3,💛 Loyal Customers
10045,173,6,376.63,62.77166666666667,6,0,⚠️  At Risk
10046,12,60,9912.98,165.21633333333332,60,3,💛 Loyal Customers
10047,75,29,2752.54,94.9151724137931,29,2,🔵 Potential
10048,77,29,3117.92,107.51448275862069,29,2,🔵 Potential
10049,10,79,14344.43,181.57506329113923,79,3,💛 Loyal Customers
10050,19,1,801.84,801.84,1,3,💛 Loyal Customers
10051,335,2,325.32,162.66,2,0,⚠️  At Risk
10052,22,9,893.5,99.27777777777777,9,2,🔵 Potential
10053,29,6,208.64000000000001,34.77333333333333,6,2,🔵 Potential
10054,85,29,3126.45,107.80862068965517,29,2,🔵 Potential
10055,16,9,1366.3899999999999,151.8211111111111,9,2,🔵 Potential
10056,1,133,42954.16,322.9636090225564,132,1,🏆 Champions
10057,11,43,8993.85,209.1593023255814,43,3,💛 Loyal Customers
10058,3,124,40032.11,322.8395967741936,124,1,🏆 Champions
10059,18,52,10059.64,193.45461538461538,52,3,💛 Loyal Customers
10060,11,64,10517.13,164.33015625,64,3,💛 Loyal Customers
10061,11,80,12679.25,158.490625,80,3,💛 Loyal Customers
10062,24,3,406.53,135.51,3,2,🔵 Potential
10063,10,83,13015.23,156.81,82,3,💛 Loyal Customers
10064,11,70,14937.69,213.39557142857143,70,3,💛 Loyal Customers
10065,89,21,3669.01,174.71476190476193,21,2,🔵 Potential
10066,2,144,57423.77,398.7761805555555,143,1,🏆 Champions
10067,5,7,616.9300000000001,88.13285714285715,7,2,🔵 Potential
10068,1,154,52851.88,343.194025974026,152,1,🏆 Champions
10069,5,7,545.24,77.89142857142858,7,2,🔵 Potential
10070,208,7,833.97,119.13857142857144,7,0,⚠️  At Risk
10071,10,59,9797.97,166.0672881355932,59,3,💛 Loyal Customers
10072,3,175,58217.53,332.6716,174,1,🏆 Champions
10073,16,4,298.48,74.62,4,2,🔵 Potential
